Started job on	JOB_START	STAR	REG	
Started mapping on	MAP_START	STAR	REG	
Finished on	JOB_FINISH	STAR	REG	
"Mapping speed, Million of reads per hour"	MAP_SPEED	STAR	REG	
Number of input reads	N_READS	STAR	REG	
Average input read length	AVG_READ_LEN	STAR	REG	
Uniquely mapped reads number	N_UNI_MAP_READS	STAR	REG	
Uniquely mapped reads %	PER_UNI_MAP_READS	STAR	REG	
Average mapped length	AVG_MAP_LEN	STAR	REG	
Number of splices: Total	TOTAL_N_SPLICES	STAR	REG	
Number of splices: Annotated (sjdb)	ANNO_TOTAL_SPLICES	STAR	REG	
Number of splices: GT/AG	GTAG_N_SPLICES	STAR	REG	
Number of splices: GC/AG	GCAG_N_SPLICES	STAR	REG	
Number of splices: AT/AC	ATAC_N_SPLICES	STAR	REG	
Number of splices: Non-canonical	NON_CANON_N_SPLICES	STAR	REG	
"Mismatch rate per base, %"	MMR_PER_BASE	STAR	REG	
Deletion rate per base	DEL_RATE_PER_BASE	STAR	REG	
Deletion average length	DEL_AVG_LEN	STAR	REG	
Insertion rate per base	INS_RATE_PER_BASE	STAR	REG	
Insertion average length	INS_AVG_LEN	STAR	REG	
Number of reads mapped to multiple loci	N_MULTI_MAP_READS	STAR	REG	
% of reads mapped to multiple loci	PER_MULTI_MAP_READS	STAR	REG	
Number of reads mapped to too many loci	N_TOO_MANY_MAP_READS	STAR	REG	
% of reads mapped to too many loci	PER_TOO_MANY_MAP_READS	STAR	REG	
Number of reads unmapped: too many mismatches	N_UNMAP_READS_TOO_MANY_MM	STAR	REG	
% of reads unmapped: too many mismatches	PER_UNMAP_READS_TOO_MANY_MM	STAR	REG	
Number of reads unmapped: too short	N_UNMAP_READS_TOO_SHORT	STAR	REG	
% of reads unmapped: too short	PER_UNMAP_READS_TOO_SHORT	STAR	REG	
Number of reads unmapped: other	N_UNMAP_READS_OTHER	STAR	REG	
% of reads unmapped: other	PER_UNMAP_READS_OTHER	STAR	REG	
Number of chimeric reads	N_CHIMERIC_READS	STAR	REG	
% of chimeric reads	PER_CHIMERIC_READS	STAR	REG	
ACCUMULATION_LEVEL	ACCUMULATION_LEVEL	PICARD	GC	
READS_USED	READS_USED	PICARD	GC	
WINDOW_SIZE	WINDOW_SIZE	PICARD	GC	
TOTAL_CLUSTERS	TOTAL_CLUSTERS	PICARD	GC	
ALIGNED_READS	ALIGNED_READS	PICARD	GC	
AT_DROPOUT	AT_DROPOUT	PICARD	GC	
GC_DROPOUT	GC_DROPOUT	PICARD	GC	
GC_NC_0_19	GC_NC_0_19	PICARD	GC	
GC_NC_20_39	GC_NC_20_39	PICARD	GC	
GC_NC_40_59	GC_NC_40_59	PICARD	GC	
GC_NC_60_79	GC_NC_60_79	PICARD	GC	
GC_NC_80_100	GC_NC_80_100	PICARD	GC	
LIBRARY	LIBRARY	PICARD	GC	
READ_GROUP	READ_GROUP	PICARD	GC	
PF_BASES	PF_BASES	PICARD	RNASEQMETRIC	
PF_ALIGNED_BASES	PF_ALIGNED_BASES	PICARD	RNASEQMETRIC	
RIBOSOMAL_BASES	RIBOSOMAL_BASES	PICARD	RNASEQMETRIC	
CODING_BASES	CODING_BASES	PICARD	RNASEQMETRIC	
UTR_BASES	UTR_BASES	PICARD	RNASEQMETRIC	
INTRONIC_BASES	INTRONIC_BASES	PICARD	RNASEQMETRIC	
INTERGENIC_BASES	INTERGENIC_BASES	PICARD	RNASEQMETRIC	
IGNORED_READS	IGNORED_READS	PICARD	RNASEQMETRIC	
CORRECT_STRAND_READS	CORRECT_STRAND_READS	PICARD	RNASEQMETRIC	
INCORRECT_STRAND_READS	INCORRECT_STRAND_READS	PICARD	RNASEQMETRIC	
