Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
abind	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4-5		R (>= 1.5.0)	methods, utils				LGPL (>= 2)					no	4.1.0
acepack	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.4.1					testthat		MIT + file LICENSE					yes	4.1.0
actuar	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	3.1-4		R (>= 4.1.0)	stats, graphics, expint	expint	MASS		GPL (>= 2)					yes	4.1.0
ada	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.0-5		R(>= 2.10),rpart					GPL					no	4.1.0
additivityTests	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1-4					knitr		GPL-3					no	4.1.0
ade4	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.7-16		R (>= 2.10)	"graphics, grDevices, methods, stats, utils, MASS, pixmap, sp,
progress"		"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim"		GPL (>= 2)					yes	4.1.0
ADGofTest	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.3							GPL						4.1.0
adjclust	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.5.99		R(>= 2.10.0)	"stats, graphics, grDevices, Matrix, matrixStats, methods,
utils, capushe"		"knitr, testthat, rmarkdown, rioja, HiTC, snpStats,
BiocGenerics"		GPL-3					yes	4.1.0
admisc	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.15		R (>= 3.5.0)	methods		QCA (>= 3.7)		GPL (>= 3)					yes	4.1.0
AGD	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.39		R (>= 2.10.0)	gamlss, gamlss.dist				GPL-2 | GPL-3					no	4.1.0
aggregation	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.0.1							GPL-3					no	4.1.0
akima	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.6-2.1		R (>= 2.0.0)	sp				ACM | file LICENSE		yes			yes	4.1.0
AlgDesign	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.2.0							GPL (>= 2)					yes	4.1.0
alluvial	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.1-2					devtools, testthat, reshape2, knitr, rmarkdown, dplyr		MIT + file LICENSE					no	4.1.0
amap	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.8-18		R (>= 3.6.0)			Biobase		GPL					yes	4.1.0
Amelia	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.8.0		R (>= 3.0.2), Rcpp (>= 0.11)	foreign, utils, grDevices, graphics, methods, stats	Rcpp (>= 0.11), RcppArmadillo	tcltk, Zelig, rmarkdown, knitr		GPL (>= 2)					yes	4.1.0
aod	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.3.1		R (>= 2.10), methods, stats			MASS, boot, lme4		GPL (>= 2)					no	4.1.0
ape	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	5.5		R (>= 3.2.0)	"nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)"	Rcpp	gee, expm, igraph, phangorn		GPL-2 | GPL-3					yes	4.1.0
apLCMS	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	6.6.6		"R (>= 2.10), MASS, rgl, mzR, splines, doParallel, foreach,
iterators, snow, gbm, e1071, randomForest, ROCR, ROCS, Rcpp"					GPL(>=2)					no	4.1.0
aplpack	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.3.3		R (>= 3.0.0)			tkrplot, jpeg, png, splines, utils, tcltk		GPL (>= 2)					no	4.1.0
argparse	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	2.0.3			R6, findpython, jsonlite		knitr (>= 1.15.19), rmarkdown, testthat		GPL (>= 2)					no	4.1.0
argparser	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	0.7.1		methods			testthat (>= 3.0.0)		GPL (>= 3)					no	4.1.0
arm	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.11-2		R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)	abind, coda, graphics, grDevices, Hmisc, methods, nlme, utils				GPL (> 2)					no	4.1.0
arrangements	/hpc/packages/minerva-centos7/rpackages/4.1.0/site-library	1.1.9		R (>= 3.4.0)	gmp, methods, R6		foreach, knitr, rmarkdown, testthat		MIT + file LICENSE					yes	4.1.0
